,FBPost,Label
37,Kindle is a book... Stop making it into somthing its not...leave the games to other moble devices...,O
38,Has anyone developed any games for the 1st generation Kindle?  Im not going to get a new one just to play games...Even though I would like to have the option...,P
39,"I play Triple Town its fun...if you dont want the games, dont get them!",O
40,I have a few games on my kindle and I enjoy them.  I also enjoy the fact that while traveling I dont have to take multiple devices in order to stay busy while on an airplane or riding in a car.,P
41,"If you dont like the games, dont buy them. I have a few games and its fun to be able to play a few games when I dont feel like reading. Not all of us have those fancy schmancy smart phones.",P
42,"How does the kindle having an ""OPTION"" to download and play games on it ruin the experience of your Kindle? Complaining about it doesnt make any sense.",N
43,Yes De ra you can get it on the iPad. I just bought it.,O
44,love playing games on my kindle.,P
45,Love triple town too ,P
46,Some people just love to complain about everything. Like someone said if you dont want the games dont get them. Duh!!!!,P
47,"um,how how do you play this on the kindle?",O
48,got it and it is so much fun and very addicting,P
49,You can play it on the original. I just downloaded it for 99 cents,O
50,Its harder to play because you dont have color. Just pretend ,N
51,"Some people may want games on their Kindle,thats fine, but i prefer to use my Kindle as a EReader.   Love My Kindle !!!!",P
52,I dont have color on my kindle..maybe I will wait for others to say how they like it.,P
53,OK I bit,O
54,kindle just 4 months old and went kaput!  wont turn on,O
55,Call customer service and they will replace it immediately no questions asked.,O
56,LOVE my Kindle....reading and I play Scrabble...love this thing:),P
57,@Fitzwater Gale - No one has color on their Kindle.,O
58,Sure do LOVE my KINDLE!,P
59,I love my Kindle!!!,P
60,Best present ever... and I didnt even ask for one! My Mum knows me so well! <3,P
61,love my new 3G kindle too!!,P
62,me too!  I love my kindle!,P
63,old school kindle 4 life,O
64,My kindle is one of my most prized possessions,O
65,:)),P
66,My Beloved,P
67,"I got one for my birthday and I just <3 it!!!! Its awesome, I can put all my books into it....btw, does anyone know how to get books onto your Kindle that you have previously bought in paper??????",P
68,"I love my favorite thing, my Kindle",P
69,"LOVE, LOVE my Kindle. It is so easy and convenient to take with me everywhere.  ♥",P
70,my husband bought me one i use it daily it is awesome words can say it,P
71,I love my kindle!,P
72,Love my kindle too!,P
73,Just wish I had more time to read for pleasure..not just for school,O
74,i think you have the beginning to a great country song!,P
75,Each day I like my Kindle more than the day before.   I am a total fan.,P
76,Clara not all books can be gotten on kindle but you can check them out on Amazon.,O
77,No loosing my bookmarks again !! My kindles the only thing i allow In my bed at night :) !!,P
78,I stay up reading now til my eyes just wont stay open! <3 my kindle!,O
79,"@Cara Bolton. Unfortunately, you have to re-purchase them, which I just did yesterday with three books. I figure, its worth the investment. :)",P
80,"I love every minute I spend with my new friend, MY Kindle.  I read myself to sleep every night.  Love the beautiful red leather lighted cover!  I NEVER leave home w/o it!",P
81,"If it werent for all the typ0s, spelling errors, missingspaces and stuff in every single book (no matter what price) my Kindle would be the best thing ever!!",P
82,would love a program to allow us to sell back read books and or games for a kindle credit. how about it!,P
83,would love a program to allow us to sell back read books and or games for a kindle credit. how about it!,P
84,"Just dropped my quality medical mystery to 99 cents for kindle just to show that price has nothing to do with quality writing. Title is Floaters, not to be confused with Joe Konraths or Joe Waumgauhs Floaters.",N
85,iPad + Kindle app = AWESOME!,P
86,"I really like the Kindle. Difficult to write sentences and use some word games due to the tiny letters. Overall, the Kindle is wonderful.",O
87,i love mine enough to marry the dam thing,P
88,"Some day I may have one then I would be more than happy to think or even compose a ""song""....till then...............whawha",P
89,Me too!!!  I love my Kindle!!!,P
90,i love mine - thanks margie,P
91,just love it!!,P
92,Thanks @John Zaffino,O
93,I have loved my kindle ever since I first was given mine almost 2 yrs ago now :),P
94,love my kindle best thing invented,P
95,Love my Kindle! Best thing ever!!!,P
96,Agree with all the above - LOVE MY Kindle 3G!  :),P
97,I bought Kindles for 2 sisters who love to read. They were so excited. Shortly afterwards a friend bought me a Kindle. I now know what the rave is all about. I havent put it down. And getting books are easier than going to bookstores; and cheaper. Thx,P
98,Love my kindle !,P
99,"I love, love, my Kindle...my only caveats....I miss the wonderful artwork on the covers of paperbacks..and photos in magazines..and I love to share my books with others, so I cant loan any to my young adult kids and friends..bummer..and how many can you archive? I like to re-read some of my books.",P
100,I love my Kindle - it is a must have,P
101,I love love love my Kindle!!,P
102,I love mine too.,P
103,I love my Kindle.  I have had it for several years.  I asked them at Staples how you go about upgrading my Kindle but they had no clue.,P
104,"I want a Kindle soooo badly! Ive got in on my b-day ""want"" list :)",P
105,This site is so helpful. I got my books into categories. I have to figure out how to highlight to check a word in the dictionary. ,P
106,"Kindles rule , they should have them in school , theyre so cool,lalala,A Kindle read is better than speed, lalala! Ok, Im guessing I fail as a songwriter! Ill stick to reading on my Kindle!",P
107,i bet theres a book to download for that...,O
108,Yesterday / When my Kindle seemed so far away ...,O
109,Suddenly / Waiting time is half of what it used to be,O
110,"I love my kindle also but I do have one problem. My favorite authors are John Saul, Robin Cook and Patricia Cornwell but I cant ever find them on the free list. :(",P
111,"Love, love, love, my Kindle!!",P
112,Took my Kindle with me on our 10 day cruise Awesome!!!!,P
113,"I have a Kindle. Dont you want one too?If you get a kindle, Ill share my books with you!",O
114,I love my kindle thanks honey,P
115,My husband tells me that my Kindle is my true love!,P
116,Best present i ever got was my kindle!! the battery lasts for months!!,P
117,"I lovingly refer to my Kindle as my ""Crackle"" because its so addictive!",O
118,@Cara if you have the time and dont want to pay the extra you can scan your all books into caliber (an open format program) and convert them into mobi files. Is really better to just repurchase (since it is faster) but for short stuFf and college papers.  I love scanning them and converting the file.  You must scanned in as a PDF the use caliber for the conversion.,P
119,One of the BEST gifts I have ever received.,P
120,"I love my little Kindle,My electronic book. Id rather have a KindleThan a S*ny or a N**k",P
121,not to many Men ?????????,O
122,I just ordered a waterproof cover! Yay!,O
123,"Got a kindle for my birthday from my wife and have read so much since. Great for waiting rooms at doctors offices, snatches of time just about anywhere. Very handy device. I Finally have something to look forward to at the beach this summer.",P
124,"Anyone know what ""EVERY WORD"" is..and is it free?",O
125,I downloaded some awesome freebooks today,P
126,"Received mine for Christmas.. I have rediscovered reading.. Thank you Kindle, thank you Amazon. ",P
127,"@Robert Walker, I just purchased your book and put the rest of the series on my wish list.  Love a good mystery!  Thanks.",P
128,"If prices dont go back down, the love affair is OVER.",P
129,Thank you!!!,P
130,Best thing ever invented,P
131,"Rose, I downloaded Every Word onto my Kindle. It was free then, about 6 months ago. It is a fun wordgame, if you like word games. It gives you 6-7 letters per level and you try to make as many words as you can. They place the words that you have come up with in alphabetical order so you can see what you might be missing.  I like it.",P
132,How about lending or access to the local library?,O
133,How about lending or access to the local library?,O
134,My favorite thing about my Kindle is that I can play Scrabble to my hearts content!,P
135,Your funny Joyce!,P
136,Ok Robert Walker send your book!,O
137,Why can I not get Water for Elephants on my Kindle in Canada?????,O
138,It is my strange addiction!  I cant put it down.,N
139,I love my kindle.  I take it with me so many places.  The best is having it with while shopping with my wife! So handy.,P
140,"I read and read and read because of my Amazon Kindle, love love love it.",P
141,Thank you robert walker,P
142,"I should have signed Phyllis, the Kindle was a gift to Peter from our daughters for his birthday in Oct. I read the first book and havent stopped since. My husband said my wife perfers to go to bed with her Kindle instead of me he he. Phyllis",O
143,"Me too, me too! I LOVE mine, wouldnt want to read without it!",P
144,I just bought that book and 2 more of your books,O
145,"Love mine so much I just bought another one for my husband so that I can have my own all to myself.  I use it for many, many things other than e-book reading, although it excels at that.",P
146,"I love my Kindle, and its not even one of the new ones!  Just love to read anything anywhere...",P
147,"Love my Kindle, and am enjoying reading Alice in Wonderland with my Granddaughters",P
148,I know what took it so long?,O
149,Me too!,O
150,Me too!,O
151,I treasure my kindle it has brought me so much joy. The best thing ever..........,P
152,"Library access, please and thank you!",P
153,Love love love my kindle! It has made reading psych articles for dissertation much more convenient. I have also rediscovered that I like reading books for pleasure - who knew?,P
154,I do know how to do that!,O
155,Andy Angel I love your little jingle!,P
156,"RoseI am so addicted to ""every word""! Love it!  It was free when I downloaded it!",P
157,Me and my Kindle strolling down the avenue =o),O
158,"song????  Only slightly plagarized.....Kindle, I think I love you, so what was I so afraid of, you only want to make me happy, so if you say, hey, go away I will, but I think better still I better stay around and love you.  do you think I have a case?  let me ask you to your face?  do you think you love me?  I THINK I LOVE YOU!",P
159,"I was having a problem with my Kindle, where it kept freezing up on me. I mean every time I went to read, I had to defreeze it. I was starting to get worried - was I going to have to deal with this or did I have a defected Kindle. So I finally called for help again - I wanted to enjoy my reading time. I explained my problem, and sure enough, there was a problem - it was the type of cover I purchased, I guess it messes it up somehow. So they kindly refunded my purchase and I bought a different one and it was the best fix ever. I no longer have any problems - I truly love my Kindle.",P
160,"My kindle was a late Christmas gift to myself. I truly believe is the greatest invention since peanut butter. Not overly complicated or overly pretentious. Sexy in its simplicity, elegant in its usefulness. I love my kindle",P
161,My kindle froze and when I rebooted everything in my archives was gone. Is that a problem from that last update? :(,N
162,I LOVE my Kindle!! Easy to read and take anywhere!! I have read some really great books lately! Right now reading Kelly Cutrones book! Love it!!,P
163,Love love my Kindle !!! Never never leave home without it. ,P
164,I like my kindle!!!!,P
165,I <3 my Kindle! Thank u Santa!,P
166,"I bought myself a kindle for Christmas . I bought 2 books, the other are free ones  and I have 41 books .   Love it",P
167,"I love my kindle, the ability to change fonts, look up words in the dictionary, make notes and did I mention my favorite, text to speech for my 1 hour commute.  I dont have to put my book down, I just let it read to me.  I LOVE IT!!!!!",P
168,"My Kindle is GREAT at the gym. Set the treadmill for one hour, turn on my Kindle and before I know it, times up! Its the best!",P
169,My Kindle was a Christmas gift from my daughters and their husbands. I LOVE it!!! I take it everywhere. Its so much easier to always have with me than a book. I have arthritis in my hands and the Kindle does not hurt them when I hold it. I can lay it down to read and the pages dont flop open:) Im reading a greater variety of books and enjoy the Word Search game. Plan to get Scrabble soon. Its one of the best gifts Ive received!! I really appreciate the updates and instructions posted on fb.,P
170,Love my Kindle!! One of the best gifts Ive received!!!!!,P
171,I love my Kindle. Thank you Stephanie. BEST gift ever!!,P
172,I never could have anticipated how much I would love my Kindle!,P
173,@Kathy..ty for the response..Ill look into it:),O
174,"I love my Kindle so much, I snuggle with it every night.",P
175,I have the 2nd generation but am thinking of getting the new one. Thoughts???,O
176,"kindle in the waiting room at the docs office,kindle in the waiting room at the pharmacy, surrounded by nooks and kindles in waiting rooms these days. soooo convenient",P
177,Im gonna gag. ,O
178,"Id like to teach the world to read, the perfect work of words, and ..., ..., ..., .....",P
179,"After buying our first Kindle about a year ago, we now have three in the family. Definitely the way to go for those who enjoy reading. Save the forests, buy a Kindle!",P
180,I love my Kindle! Thanks Julie for giving it to me! My best ever gift!!!I love the free books that are available and I love the recommendations based on your book purchases! I take  my Kindle everywhere and I especially love it for traveling and holidays! Give a Kindle to someone you love or encourage a child to read more by giving them a Kindle! It will get them excited about reading!,P
181,l would so like to share the books ive purchased with my friends....,P
182,How do you download and play games on Kindle? I didnt know you could do this!,O
183,can someone tell me.when you use the web...is it in color like the nook??,P
184,louise - you buy them from the amazon store. Theyre currently only available in the us which leaves the rest of the world waiting,O
185,No,O
186,How do we lobby for cheaper ebooks? Saw new book advertised yesterday at train station for £3.49 in a shop and went to Kindle store and it was £9.99! Quite a difference......,P
187,I order this week and am SO excited. Spent weeks picking out my cover choices etc.,P
188,Well thats not fair! Come on Amazon - the rest of the world wants to play games too!,P
189,:) I did write a song :) I love my kindle! Lol,P
190,"My wife got me the Kindle dx for Valentines since I read a lot..I just love it, where ever I go it goes with me.I warp into another world as I start reading..n Kindle really doesnt get in the way!! Totally floored..:)",P
191,One of our local schools in the County is looking into using Kindles in the classroom for every student! WOW! They say it would be cheaper than expensive Textbooks and could save money!,P
192,"I carry my Kindly in my purse next to my cell phone.  Would not be without it.  It is the best gadget I ever owned (second to it is my Keurig coffee maker).  K and K, Kindle and coffee, what could be better.",P
193,"Lets all try to persuade Kindle to allow us to download snooks from our local Libraries.   Your Library may not provide this facility now but it will, I believe, very soon.   Be prepared.   Meanwhile check out the Overdrive Media Console app.   With this you can access your Library and download snooks and audio books to your iPod touch/pad/phone etc.   I still prefer my Kindle so come on Kindle, be good to us!",P
194,ebooks not snooks.,O
195,And then you could download it to your Kindle and listen to it!,O
196,I would love to love a Kindle but it needs to be library ebook friendly first :(,N
197,"I like my Kindle but miss having a backlight so I can read in the dark. Also, I use my eyes all day at a computer so lately Ive been doing a lot more audio books on my smartphone.",N
198,I love my Kindle. I have the K2 but thinking about upgrading to the new model. .,P
199,"I love it because the Kindle has made it easy for me to always have a book to read, and has allowed me to self-publish too!",P
200,My kindles screen has disappeared actually only the top half. I miss it dearly> (,N
201,It happened right after the update>,O
202,Love my kindle! Big entertainment in a little package!!! Thanks!<3,P
203,Read on my kindle. Thats what I do.,O
204,"I love my kindle.  Being full time RVers its a must, its the only way to travel and read without having books everywhere.  Anyone who travel in a motorhome knows there isnt  a whole lot of room for books.  My kindle is the best.",P
205,I love my Kindle but hope one day soon I can upgrade to a color version so I can download magazines in all their glory.  I also love all the games (some free and some very reasonably priced) that I can play when I am not reading.  I still buy a few paper books but the Kindle is so much easier to read in bed.,P
206,Best thing since slice bread!!! LOL,P
207,♫ I love my Kindle...my only Kindle...it makes me happy... when skies are grey...I read more often... now that I have it...please dont take my Kindle away!... TaDa!,P
208,Wherever I go my Kindle goes with mne..Im so happy my daughter introduced me to it.,P
209,"I LOVE my Kindle! Were a family of 6 who are worldschooling and travelling slowly around the world since Oct10.  The BEST investment for our travel lifestyle, and an essential travel gear! We have our travel guide books, homeschooling books, and novels with us in our Kindle. We use it more than twice a day. The only negative thing weve experienced is that we all have to wait to take our turn reading the Kindle....Well need to pick up another one this fall.",P
210,There are a lot of things in this world I could live without.  My Kindle doesnt happen to be one of them!,O
211,Kindle video poker - excellent! Its cutting in to my reading time:),P
212,I love my Kindle! I wouldnt exchange it for anything in this world!,P
213,I love my Kindle! I not only read more but I also love the word search books for the Kindle.  I would never purchase another e-reader.,P
214,I so agree.  I just love my Kindle,P
215,Amazon should step up to the plate and do an update so public library books can be (borrowed) downloaded to the kindle. It would be nice to be able to get books from Nassau County Librays,P
216,I just read Madam Tussaud by Michelle Moran. Historical Fiction gebre. Excellent read!,P
217,I like the free stuff. Post more of that.,P
218,Love it because I can increase the font size and read while I am walking on the treadmill!,P
219,"I finally read ""A Tale of Two Cities; what a great read!",P
220,http://www.amazon.com/Sunny-Rain-ebook/dp/B003ES5NYS/ref=sr_1_2?ie=UTF8&m=AG56TWVU5XWC2&s=books&qid=1295910892&sr=1-2,O
221,What happened to the authors names in the lists?  Not very useful to try to read the authors name from the thumbnail book cover.,P
222,Thanks for posting the lists. Read-a-palooza for me! Im getting some of them NOW =),O
223,"Love my Kindle, and dont even need my glasses on when I am reading..lol",P
224,Reading Medical Error.....more than half way through it and its great...and its FREE,P
225,"Got my Kindle for Xmas and Ive read 12 bks already, mostly from the top 100 free list, love it. Just finished reading Stuck in the Middle, great read!",P
226,Love the free classics and open source textbooks!,P
227,Amazon Kindle supplies right here:http://www.babcockpublishing.com/ezbuy/index.htm#Kindle,O
228,99 cents gets you medical examiner novel FLOATERS....2.99 gets you historical thriller CHILDREN of SALEM....3.99 gets you TITANIC 2012 - Curse of RMS Titanic (historical & Science Fic. in one),N
229,I love the free classics.  I forgot how good Treasure Island and White Fang were,P
230,"Just received a new Kindle but I dont have wifi internet,and I still cant get the brand new router I bought to work. I have 1 little book on my Kindle that I downloaded,and that took me 30 minutes to try to get load into the Kindle. I would love to enjoy my Kindle as much as everyone else is,but it has not been as effortless for me as for them :(",P
231,"I Love my Kindle. I like trying out the Free Books,  BUT, your Free Books selections are POOR!  And the Free Book Section is Not Updated Hourly!  I paid for my Kindle, So I do wish that the price of the Kindle books were reduced for Kindle owners!!!Kindle, How about a response to this.",P
232,"How about reduced prices on kindle books , for Kindle Owners, say once a month!",O
233,@Linda there are other venues to find great free books if you look.,P
234,Love the Kindle best gift ever. Take it everywhere with me.  Love the free books also,P
235,"I just got an iPhone4, and im loving the Kindle Store app and the alerts here....so convenient!",P
236,Best gift I ever gave myself! ; ),P
237,"I have found a lot of good free Kindle books.  You have to check regularly; as some are only free for a very limited time, then back to regular price.  One thing I dont like is that Ive noticed that lately the Kindle purchase price is MORE EXPENSIVE than the actual book!  In that case, I will buy the real book.  Duh?",P
238,"Leslie, download to your computer then connect the kindle via usb and copy the book from the computer into the documents folder on your kindle. Thats what I had to do out here in the boonies! Works great and you have an extra backup on your computer.",P
239,"Perfect timing for this post, got a lot of snow coming and the power is sure to go out so I picked up 2 more books off the list....thanks",P
240,@Annette.  I agree.  It really makes me angry when the Kindle book is more than the actual book.  I refuse to buy either.  That is the ONLY problem that I have with Amazon.  It is something they should adjust immediately.,N
241,Too bad I cant open this link on my Kindle.,N
242,LOVE  LOVE LOVE my Kindle and the free books are great. Have never enjoyed reading so much.,P
243,"I agree w/ Annette... I love my Kindle, am willing to pay for certain books but pretty bummed that often the Kindle edition is more expensive than the actual book! This doesnt make much sense & disappoints every time I notice it. Otherwise yes there are great resources for free books...",P
244,And my book: ALOHA RAINBOW.,O
245,Try The Hangmans Daughter !,O
246,"Amazon does not control the price the publisher does and they need to make a certain amount per unit because contractually, everyone involved was promised a certain percentage per unit. Libraries still exist so if you dont like the price, go check it out for free. Also many librarys have free downloads to borrow on their websites.",P
247,Love love love my Kindle!!!!!!!!!,P
248,"Still reading ""Anna Karenina""...long,but good.",P
249,"I do buy my fair share of paid Kindle books, but itd be nice if the Android and iPod Touch Kindle apps would let us browse the top FREE books from within the apps themselves.  Hope this is a coming upgrade.",P
250,I love my kindle and the free books are fantastic. Some I read as a teenager... and it is great to reread them as a mature adult. Especially when they are free!,P
251,Found some good freebies today... gotta love it... and love the Kindle!,P
252,Thanks for posting this! I found me 5 freebies!!!!,O
253,"Just be careful if youre shopping in the ""free"" list.  Amazon has been slipping ""paid"" books in there (hoping youll get caught up in the shopping and ""accidently"" buy one you have to pay for?)  Still LOVE my Kindle!",P
254,Yay! Free books!  I got 8 of em!  Woo hoo!,P
255,Wow! Just downloaded 10 free books. Sweet!,P
256,checked it out last night - downloaded at least a dozen more titles!,O
257,Thanks for the link to free books!,P
258,"I love this option!  Using it is how I have found all of my books, so far!",P
259,Me and my two young daughters all received kindles at Christmas! They read with them constantly!!! I so wish I could afford to buy each child in their 2nd & 4th grade class one!! It would also be an awesome fund raiser to raise money to purchase these for retirement homes!! I loved reading as a child and the kindle is an awesome way to spark kids interest in reading!,P
260,"Alladin, duh",O
261,Love this feature!!!!!!,P
262,"Love the kindle and it makes you want to read all the time:-) Also, if someone doesnt have wifi at home, go to local hotspot (every town has a coffee shop) and download a bunch of books at once. Or just go anywhere with wifi and start downloading..",P
263,I love free books!,P
264,Love the free books.  Im reading new authors whos books I have never read before!  I love my kindle!!,P
265,I accidentally downloaded a book that was in the free section but wasnt free. I called and it was removed immediately.  They were very apologetic and Im sure it was an oversight. I love my Kindle. ,P
266,Got 7 - luv free books!,P
267,could not get the new download to download....,O
268,"Most public libraries lend e-books; however, the libraries format is NOT compatible with the Amazon Kindle.  Big bummer!",O
269,I know this is off topic but I cant say enough about the qualtity and helpfullness of Kindle support.,P
270,"I read at least 3 books a week so the free books are wonderful.  If iI find it boring after a chapter or two, I delete it and get another.  Since it was free I dont feel bad about deleting.",O
271,I absolutely LOVE my Kindle,P
272,"KINDLE KEEPS ROCKING, I KEEP READING.",O
273,"Is there a buy back program for people to up-grade?  I was hoping to pick up a ""gently used"" kindle for my teenager.  She is starting to think reading is fun while reading Shakespeare and I want my kindle back!  ",P
274,I love the kindle.. I dont know why I was fighting against getting one for so long.  My husband got it for me with the wifi and 3g so I can download more when I want.  I Love the free books.  I have downloaded roughly 90 books and only paid $7.00 total so far on books that were must haves.  I like having a variety so that if I am not that interested in a book I can choose another without going to the site.   I can always try that book again later.  This is fun.  I am reading again for the first time in a long long long time.  Thank you Kindle for finding a way that I can enjoy books now.  This coming from someone who never enjoyed any reading at all due to a mild case of dyslexia.,P
275,"This is going to be dangerous to my credit card, isnt it?",N
276,"@ Leslie Cyr - Leslie have you tried downloading via your USB cable? You should be able to do that. Right, Kindle Users?!  Shouldnt she be able to download via the USB whether she has WiFi or not? Book to>>computer>>Kindle.  Help a fellow Kindle user out! :)",P
277,Love my Kindle.  I have bought a lot of books and also downloaded quite a few free books.  My daughter has a Kindle and we did the lending a book option.  Not all your books on Kindle are lendable so you need the check.  Everyone keep reading.,P
278,"Yep, its totally doable to download books to your computer than transfer to the Kindle via the USB cable.  People without wireless coverage have been doing it all along.  Directions are in the Kindle Users Guide.Also, folks who think Kindle book prices should be lower should talk to the publishers - theyre the ones who set the prices, especially the higher ones (youll note that on many books its noted that ""This price was set by the publisher"").",O
279,Thnx for this post I just downloaded 12 new books for free! I love my Kindle my best travel companion :)),P
280,I love the old Classics (especially the FREE download).  Just finished reading The Count of Monte Cristo and now into Uncle Toms Cabin.  Hooray for Kindle!,P
281,"Love my kindle, my children got me this for my birthday last year.",P
282,"My hubby got me a kindle and I love it!!.  I can read books, magazines, etc..If you love to read this is definately something you should look into.",P
283,Thanks.  Just downloaded 23 books.  That will keep me busy for a while.  LOL,P
284,I love kindle and love Nook color and bw nook. I enjoy 3 of them.,P
285,"In order for this to be really useful to me, you need to give me a way to sort for similar tastes, like Netflix does, for instance.  Popular does not impress me.",P
286,i am reading aesop fables,O
287,"@ Leslie, try going to a Starbucks or Panera Bread where wifi is free. Go to menu button and make sure wifi is turned on. Now go to shop kindle book store or NY times best sellers and start enjoying your kindle like the rest of us. Also you can type in your own selection. Hope this helps. Good Luck",P
288,After less than a year we are addicted to our Kindles.  We each have one so we sometimes trade.  We have read 87 books since we started.  We  dont have TV in our bedroom and go to bed at 9:00 and read til 11:00.  It is so easy to hold and easy to order new books and read immediately.  Easy to transport. Wonderful!,P
289,Thank you!,P
290,"Nice work Phyllis, you beat the absolute clown who posts spam on every Facebook page!",P
291,Sent!,O
292,"Now, if we could just have collections inside of collections, I would be ecstatic!",O
293,I love this collection feature. I use it and really does help me find things quickly.,P
294,Do you know how to put an item back into archives and get it off the Droid?  I cant find this info anywhere.  :(,N
295,Now thats a great tip! Ive picked some books that were bloody awful which I was hoping to never catch sight of again!,N
296,Thank you. I wondered about this but was too lazy to research the answer!,O
297,"To read epub books for nook etc just download calibre free ebook management program online to your PC which will convert them to mobi or tzw for kindle. ..(Blaine Z. Author of ""The Gaines Agenda"" and ""Weight Loss on your Nook or Kindle "" available on nook.com",O
298,THANK YOU! Finally.,P
299,THANK YOU   I have been wondering how to do this!,P
300,"omg, im 12,and i flippin adore my kindle!!!<3 <3 <3 <3",P
301,"I use this feature, have a collection of classics I read with my homeschool students, and one for different genres just for myself.  Keeps me down to 2 pages rather than 18 or so.",O
302,I am glad to finally know how to do this!,P
303,"Thanks for that tip, I knew there HAD to be a way to do it but I was at a loss as to how.",N
304,I have moved things to a collection but they still show as individual items too.  Am I missing something?  I would like to house my stuff in collections not both.,P
305,@Ginger KL: that would be GREAT :D,P
306,"Melodie - how are you moving them? Do you use the 5-way thing to hilite ""add to collection"" and then choose the collection? Thats the way I do it and the book always disappears from home and only appears in the collection.",O
307,Anyone know how to remove a free sample permanently?  Lets just say Im glad I got the sample.,P
308,I have the same issue as Melodie...,N
309,"@Melodie - at the top of your screen, you need to tell it to sort by collections.  Not by author, or most recent, or whatever.",O
310,@ Frances - you should be able to click left when its highlighted and that should give you the option to delete.,O
311,"I have a similar wish to Ginger. Id like to be able to put books into more than one collection. eg - Jane Eyre would be in Classic Novels, and Favourites.",P
312,Thanks!,O
313,Janice - You can do that.  You just cant have collections inside of collections.  But you can send a book to as many collections as you like.,P
314,Janice - You can do that.  You just cant have collections inside of collections.  But you can send a book to as many collections as you like.,P
315,@Ann - to remove from my droid I just press and hold on the book title until a box opens and it will have some options.  One is to remove from device.  Hope this helps you!,O
316,"I have trouble getting things back into archive. Anyone know if I can keep both Kindles linked to the same Amazon account, but only have books go to one of them and not archive in the other? I want to get some stuff that my 14 year old son doesnt want/need in his archive and vice versa.",N
